step,train/center,train/center_acc,train/center_exact_match,train/code_perplexity,train/counterfactual,train/diversity,train/entropy,train/hardest_negative_center_bce,train/jepa,train/mean_center_wall_density,train/mean_pairwise_code_l1,train/num_active_codes,train/positive_center_bce,train/sigreg,train/total,train/usage_kl_uniform,val/center,val/center_acc,val/center_exact_match,val/code_perplexity,val/counterfactual,val/diversity,val/entropy,val/hardest_negative_center_bce,val/jepa,val/mean_center_wall_density,val/mean_pairwise_code_l1,val/num_active_codes,val/positive_center_bce,val/sigreg,val/total,val/usage_kl_uniform
1.0,0.6916147470474243,0.5035937428474426,0.0,15.988666534423828,0.0,0.0,2.771714448928833,0.6916147470474243,0.8699498176574707,0.1314062476158142,0.0,16.0,0.6916147470474243,0.29436659812927246,1.6481903791427612,0.0007085076649673283,0.6912606880068779,0.5062109231948853,0.0,15.986623287200928,0.0,0.0,2.7715858817100525,0.6912606880068779,0.7915483713150024,0.14291991759091616,0.0,16.0,0.6912606880068779,0.2977520767599344,1.5701171606779099,0.0008363698834727984
250.0,0.42543119192123413,0.8487499952316284,0.1171875,15.999645233154297,0.0,0.0,2.7725305557250977,0.42543119192123413,0.003253964241594076,0.1512499898672104,0.0,16.0,0.42543119192123413,0.29730892181396484,0.515873372554779,2.20817109948257e-05,0.41333956085145473,0.8553222455084324,0.135986328125,15.999611616134644,0.0,0.0,2.772526130080223,0.41333956085145473,0.0033406960719730705,0.14467773120850325,0.0,16.0,0.41333956085145473,0.3016972132027149,0.5047461651265621,2.423902719783655e-05
500.0,0.3858284652233124,0.8531249761581421,0.171875,15.899487495422363,0.0,0.0,2.602550745010376,0.3858284652233124,0.018614966422319412,0.14687499403953552,0.0,16.0,0.3858284652233124,0.300292044878006,0.49084246158599854,0.006301863119006157,0.3915948364883661,0.853574201464653,0.125,15.956181168556213,0.0,0.0,2.620442047715187,0.3915948364883661,0.019514643005095422,0.14642577711492777,0.0,16.0,0.3915948364883661,0.30147213116288185,0.4977455325424671,0.002744507415627595
750.0,0.3960888683795929,0.8465625047683716,0.109375,15.815046310424805,0.0,0.0,2.2654972076416016,0.3960888683795929,0.009411217644810677,0.15343749523162842,0.0,16.0,0.3960888683795929,0.305856853723526,0.48990780115127563,0.011626982130110264,0.38377453200519085,0.851865217089653,0.12109375,15.883863091468811,0.0,0.0,2.275345027446747,0.38377453200519085,0.006864931317977607,0.1481347605586052,0.0,16.0,0.38377453200519085,0.2979015577584505,0.47333817556500435,0.0072988583851838484
1000.0,0.35803937911987305,0.8637499809265137,0.1484375,15.744355201721191,0.0,0.0,2.111992835998535,0.35803937911987305,0.004708348773419857,0.13625000417232513,0.0,16.0,0.35803937911987305,0.2905360162258148,0.44278019666671753,0.016106924042105675,0.37473149597644806,0.8518847525119781,0.12060546875,15.798014640808105,0.0,0.0,2.1193570494651794,0.37473149597644806,0.00237508061400149,0.14811523165553808,0.0,16.0,0.37473149597644806,0.29790159314870834,0.45851644687354565,0.012719655758701265
1250.0,0.3735504746437073,0.8535937070846558,0.125,15.760290145874023,0.0,0.0,1.9159154891967773,0.3735504746437073,0.005021695978939533,0.14640624821186066,0.0,16.0,0.3735504746437073,0.300542950630188,0.4585946798324585,0.015095032751560211,0.3671634569764137,0.8551757633686066,0.123291015625,15.733412981033325,0.0,0.0,1.9121665805578232,0.3671634569764137,0.0020843927923124284,0.14482421427965164,0.0,16.0,0.3671634569764137,0.29941521398723125,0.4490942023694515,0.01683279129792936
1500.0,0.3423578143119812,0.8657812476158142,0.18359375,15.19990062713623,0.0,0.0,1.7053778171539307,0.3423578143119812,0.0054090204648673534,0.1342187523841858,0.0,16.0,0.3423578143119812,0.3102431297302246,0.42943423986434937,0.05129992589354515,0.36736542358994484,0.8540038838982582,0.1298828125,15.584707736968994,0.0,0.0,1.7553346902132034,0.36736542358994484,0.003937461515306495,0.1459960900247097,0.0,16.0,0.36736542358994484,0.2996160425245762,0.4500964768230915,0.026340724085457623
1750.0,0.37456855177879333,0.8503124713897705,0.12890625,15.696297645568848,0.0,0.0,1.6758753061294556,0.37456855177879333,0.003606469603255391,0.1496874988079071,0.0,16.0,0.37456855177879333,0.2952132523059845,0.45493459701538086,0.019163738936185837,0.36528841592371464,0.8549218587577343,0.129638671875,15.618000030517578,0.0,0.0,1.6822268664836884,0.36528841592371464,0.0021878288098378107,0.14507812075316906,0.0,16.0,0.36528841592371464,0.29730662144720554,0.4449723418802023,0.024250059796031564
2000.0,0.376870334148407,0.8510937094688416,0.09765625,15.936896324157715,0.0,0.0,1.6377910375595093,0.376870334148407,0.0025380225852131844,0.14890624582767487,0.0,16.0,0.376870334148407,0.2948237657546997,0.45494863390922546,0.0039522345177829266,0.35863952711224556,0.858496081084013,0.134033203125,15.70355224609375,0.0,0.0,1.6036626398563385,0.35863952711224556,0.0009780590771697462,0.14150390401482582,0.0,16.0,0.35863952711224556,0.2967004217207432,0.43593291006982327,0.018772202194668353
2250.0,0.36886274814605713,0.8579687476158142,0.109375,15.763547897338867,0.0,0.0,1.6370521783828735,0.36886274814605713,0.0024657556787133217,0.1420312523841858,0.0,16.0,0.36886274814605713,0.2985960841178894,0.44816267490386963,0.014888382516801357,0.3681521378457546,0.8538085743784904,0.1201171875,15.649244785308838,0.0,0.0,1.5931539088487625,0.3681521378457546,0.0010329148062737659,0.1461914023384452,0.0,16.0,0.3681521378457546,0.29354747012257576,0.4449382908642292,0.022243974584853277
