code,mean_confidence,std_confidence,mean_cell_edit_rate,mean_pattern_change_rate,top_canonical_pattern_id,top_canonical_pattern_prob_all_sites,top_canonical_pattern_prob_top_quartile_sites,num_unique_canonical_patterns
0,0.8134962320327759,0.05300857126712799,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
1,0.7795020937919617,0.0619470551609993,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
2,0.8351184129714966,0.04728223383426666,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
3,0.9115416407585144,0.02646370604634285,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
4,0.6845194101333618,0.08483529835939407,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
5,0.5513355731964111,0.11320598423480988,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
6,0.4897044599056244,0.12257207185029984,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
7,0.9986659288406372,0.0004265082534402609,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
8,0.7632297277450562,0.06605355441570282,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
9,0.6114293336868286,0.10144751518964767,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
10,0.7347983121871948,0.07288577407598495,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
11,0.4861622452735901,0.12279154360294342,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
12,0.6916882395744324,0.08324087411165237,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
13,0.5529611110687256,0.11285872012376785,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
14,0.9026188254356384,0.028950160369277,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
15,0.6725820302963257,0.08785039186477661,0.1470486111111111,0.8802083134651184,0,1.0,1.0,1
