code,prototype_id,wall_fraction
0,8388611,0.11999999731779099
1,16777344,0.07999999821186066
2,5081109,0.36000001430511475
3,16777730,0.11999999731779099
4,1573952,0.1599999964237213
5,16464,0.11999999731779099
6,4522012,0.23999999463558197
7,0,0.0
8,2097409,0.11999999731779099
9,2232320,0.11999999731779099
10,1050632,0.11999999731779099
11,576,0.07999999821186066
12,2056,0.07999999821186066
13,16416,0.07999999821186066
14,8224,0.07999999821186066
15,9310312,0.3199999928474426
