code,count,mean_masked_wall_density,goal_in_mask_rate,agent_in_mask_rate,mean_mask_center_y,mean_mask_center_x
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,32.0,0.16750283539295197,0.09375,0.125,6.203125,6.453125
2.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
