step,train/center,train/center_acc,train/center_exact_match,train/code_perplexity,train/counterfactual,train/entropy,train/hardest_negative_center_bce,train/jepa,train/mean_center_wall_density,train/num_active_codes,train/positive_center_bce,train/sigreg,train/total,train/usage_kl_uniform,val/center,val/center_acc,val/center_exact_match,val/code_perplexity,val/counterfactual,val/entropy,val/hardest_negative_center_bce,val/jepa,val/mean_center_wall_density,val/num_active_codes,val/positive_center_bce,val/sigreg,val/total,val/usage_kl_uniform
1.0,0.6868248581886292,0.6072048544883728,0.0078125,15.990504264831543,0.05239756405353546,2.771798849105835,0.6844271421432495,0.8851656913757324,0.1401909738779068,16.0,0.6868247389793396,0.2924645245075226,1.671330451965332,0.0005937754758633673,0.6864469647407532,0.6182997040450573,0.002685546875,15.986300230026245,0.05238621751777828,2.771518126130104,0.6840607225894928,0.7723568603396416,0.14252387452870607,16.0,0.6864469647407532,0.2967865355312824,1.559015728533268,0.0008566379037802108
250.0,0.4264107942581177,0.84765625,0.328125,15.999725341796875,0.050408847630023956,2.7725391387939453,0.42600199580192566,0.0037635888438671827,0.15234375,16.0,0.42641082406044006,0.3000650405883789,0.5305158495903015,1.7244808987015858e-05,0.4125246275216341,0.8552517332136631,0.334228515625,15.999725818634033,0.05037821223959327,2.772539332509041,0.41214639134705067,0.003792066403548233,0.14474826585501432,16.0,0.4125245902687311,0.3024925999343395,0.5171360075473785,1.71634641219498e-05
500.0,0.3792155385017395,0.85546875,0.36328125,15.993565559387207,0.050382502377033234,2.7414307594299316,0.3788330554962158,0.01634434051811695,0.14453125,16.0,0.3792155385017395,0.3023931384086609,0.4960685074329376,0.00040194913162849844,0.38902550749480724,0.855984166264534,0.32763671875,15.989829242229462,0.050328325713053346,2.744924023747444,0.388697212561965,0.015316398465074599,0.1440158444456756,16.0,0.38902552612125874,0.302167559042573,0.5048385392874479,0.0006360369457070192
750.0,0.3997991383075714,0.84765625,0.296875,15.990336418151855,0.05346309393644333,2.2266790866851807,0.39633607864379883,0.016692185774445534,0.15234375,16.0,0.3997991979122162,0.30777502059936523,0.5137091279029846,0.0006044686888344586,0.3893221188336611,0.8527832068502903,0.328125,15.941917955875397,0.052059395238757133,2.2113358080387115,0.3872627317905426,0.014555452100466937,0.14721679780632257,16.0,0.38932214118540287,0.29856380075216293,0.49890074878931046,0.0036443433273234405
1000.0,0.35225608944892883,0.8619791865348816,0.34375,15.89780044555664,0.06816209852695465,2.2318692207336426,0.33409401774406433,0.0032251460943371058,0.1380208283662796,16.0,0.35225605964660645,0.29067373275756836,0.45329558849334717,0.006407921202480793,0.35175419226288795,0.8528645858168602,0.32470703125,15.861612737178802,0.05301907588727772,2.2277161329984665,0.3487351406365633,0.0013031134294578806,0.1471354179084301,16.0,0.351754205301404,0.2991845868527889,0.4488607682287693,0.00869237256119959
1250.0,0.3589549660682678,0.8450520634651184,0.3125,15.809715270996094,0.059026896953582764,1.9941507577896118,0.3499281108379364,0.0022891126573085785,0.1549479216337204,16.0,0.3589549660682678,0.30371254682540894,0.45728302001953125,0.011963918805122375,0.3348625414073467,0.856472447514534,0.3310546875,15.68253606557846,0.05151246627792716,1.9884156361222267,0.33335008285939693,0.0009564870269969106,0.14352756179869175,16.0,0.3348625414073467,0.3015753049403429,0.429900586605072,0.02008434501476586
1500.0,0.33475178480148315,0.8532986044883728,0.36328125,15.310418128967285,0.0596671961247921,1.9279367923736572,0.3250846266746521,0.0011344596277922392,0.1467013955116272,16.0,0.33475181460380554,0.31362903118133545,0.43501099944114685,0.044055286794900894,0.33300871029496193,0.8553331308066845,0.3349609375,15.551120162010193,0.05105946026742458,1.957816630601883,0.33194922655820847,0.0005502643034560606,0.14466688502579927,16.0,0.33300868421792984,0.3018708545714617,0.4277007728815079,0.02849197410978377
1750.0,0.33681154251098633,0.8541666865348816,0.33984375,15.45616626739502,0.055994898080825806,1.9208463430404663,0.33081671595573425,0.0006632704753428698,0.1458333283662796,16.0,0.3368115723133087,0.2977721393108368,0.4319654703140259,0.03458072990179062,0.3338099233806133,0.8548990935087204,0.334228515625,15.464668691158295,0.05044401716440916,1.934908166527748,0.33336592465639114,0.0003886789199896157,0.14510091301053762,16.0,0.33380993641912937,0.29918267391622066,0.4277036264538765,0.03416799640399404
2000.0,0.3411000370979309,0.854600727558136,0.328125,15.436629295349121,0.056649353355169296,1.928257703781128,0.33445072174072266,0.0006454589311033487,0.1453993022441864,16.0,0.3411000669002533,0.29692208766937256,0.43636709451675415,0.03584536164999008,0.3279191292822361,0.8594292663037777,0.3349609375,15.273658454418182,0.05048449570313096,1.9260993674397469,0.32743465155363083,0.00040115666342899203,0.14057074952870607,16.0,0.32791914977133274,0.3002028614282608,0.4225713945925236,0.04656834516208619
2250.0,0.35778507590293884,0.8463541865348816,0.30078125,15.595491409301758,0.05768827348947525,1.920018196105957,0.35009682178497314,0.0005235699936747551,0.1536458283662796,16.0,0.35778507590293884,0.3057156801223755,0.45435434579849243,0.02560669183731079,0.33776859752833843,0.8526204489171505,0.32080078125,15.413703501224518,0.05090631218627095,1.9105648174881935,0.3368623126298189,0.0003680433292174712,0.1473795585334301,16.0,0.3377686087042093,0.29888952150940895,0.43161932565271854,0.03745103912660852
