code,mean_confidence,std_confidence,mean_cell_edit_rate,mean_pattern_change_rate,top_canonical_pattern_id,top_canonical_pattern_prob_all_sites,top_canonical_pattern_prob_top_quartile_sites,num_unique_canonical_patterns
0,0.5756517052650452,0.05388708785176277,0.14704861111111112,0.671875,0,1.0,1.0,1
1,0.7422550916671753,0.038160596042871475,0.14704861111111112,0.671875,0,1.0,1.0,1
2,0.5771734118461609,0.053965989500284195,0.14704861111111112,0.671875,0,1.0,1.0,1
3,0.9933081269264221,0.0012706501875072718,0.14704861111111112,0.671875,0,1.0,1.0,1
4,0.5682075619697571,0.054394785314798355,0.14704861111111112,0.671875,0,1.0,1.0,1
5,0.7447378635406494,0.03812682256102562,0.14704861111111112,0.671875,0,1.0,1.0,1
6,0.33978280425071716,0.05975349247455597,0.14704861111111112,0.671875,0,1.0,1.0,1
7,0.9931402802467346,0.0013014456490054727,0.14704861111111112,0.671875,0,1.0,1.0,1
8,0.34765854477882385,0.05956542491912842,0.14704861111111112,0.671875,0,1.0,1.0,1
9,0.7455366253852844,0.037771183997392654,0.14704861111111112,0.671875,0,1.0,1.0,1
10,0.7451350688934326,0.03779606893658638,0.14704861111111112,0.671875,0,1.0,1.0,1
11,0.9932286143302917,0.001284948200918734,0.14704861111111112,0.671875,0,1.0,1.0,1
12,0.3364100754261017,0.05984189733862877,0.14704861111111112,0.671875,0,1.0,1.0,1
13,0.5014914870262146,0.05713248997926712,0.14704861111111112,0.671875,0,1.0,1.0,1
14,0.7446140050888062,0.03786304220557213,0.14704861111111112,0.671875,0,1.0,1.0,1
15,0.993355929851532,0.001257780590094626,0.14704861111111112,0.671875,0,1.0,1.0,1
