update,mode,archive_filled,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
646,replay,48,4000,0.1764,1.000,0.0061,0.60
647,mutate,48,4000,0.0586,0.656,0.0062,2.48
648,replay,48,4000,0.2088,1.000,0.0059,0.60
649,mutate,48,4000,0.0560,0.719,0.0060,2.48
650,replay,48,4000,0.1564,1.000,0.0059,0.60
651,mutate,48,4000,0.1034,0.562,0.0059,2.48
652,replay,48,4000,0.0484,1.000,0.0056,0.60
653,mutate,48,4000,0.0970,0.656,0.0058,2.48
654,replay,48,4000,0.2356,1.000,0.0057,0.60
655,mutate,48,4000,0.0512,0.562,0.0059,2.48
656,new,48,4000,0.0182,1.000,0.0059,2.49
657,new,48,4000,0.0581,0.812,0.0059,2.49
658,new,48,4000,0.0906,0.812,0.0059,2.49
659,replay,48,4000,0.2635,1.000,0.0059,0.60
660,mutate,48,4000,0.0411,0.750,0.0060,2.49
661,replay,48,4000,0.3122,1.000,0.0059,0.60
662,mutate,48,4000,0.0243,0.812,0.0061,2.49
663,replay,48,4000,0.2846,1.000,0.0062,0.60
664,mutate,48,4000,0.0431,0.750,0.0063,2.49
665,replay,48,4000,0.3118,1.000,0.0062,0.60
666,mutate,48,4000,0.0258,0.781,0.0063,2.49
667,replay,48,4000,0.3146,1.000,0.0064,0.60
668,mutate,48,4000,0.0527,0.750,0.0065,2.49
669,new,48,4000,0.0675,0.750,0.0065,2.50
670,replay,48,4000,0.2140,1.000,0.0061,0.61
671,mutate,48,4000,0.0366,0.750,0.0061,2.50
672,replay,48,4000,0.0610,1.000,0.0053,0.60
673,mutate,48,4000,0.1234,0.625,0.0054,2.49
674,replay,48,4000,0.1479,1.000,0.0054,0.60
675,mutate,48,4000,0.1480,0.750,0.0054,2.49
676,new,48,4000,0.0931,0.812,0.0054,2.49
677,new,48,4000,0.0334,0.938,0.0054,2.49
678,replay,48,4000,0.1700,1.000,0.0053,0.60
679,mutate,48,4000,0.0265,0.594,0.0053,2.49
680,replay,48,4000,-0.1040,1.000,0.0048,0.60
681,mutate,48,4000,0.0246,0.625,0.0048,2.49
682,replay,48,4000,0.1307,1.000,0.0046,0.61
683,mutate,48,4000,0.0320,0.531,0.0046,2.49
684,new,48,4000,0.0348,0.875,0.0046,2.49
685,replay,48,4000,0.2035,1.000,0.0048,0.60
686,mutate,48,4000,0.0207,0.781,0.0049,2.48
687,new,48,4000,0.0000,0.875,0.0049,2.48
688,replay,48,4000,0.1078,1.000,0.0047,0.60
689,mutate,48,4000,0.0406,0.625,0.0047,2.51
690,replay,48,4000,0.0449,1.000,0.0047,0.61
691,mutate,48,4000,0.0000,0.031,0.0047,2.49
692,replay,48,4000,-0.0460,1.000,0.0043,0.60
693,mutate,48,4000,0.3233,0.031,0.0044,2.48
694,replay,48,4000,0.1868,1.000,0.0043,0.60
695,mutate,48,4000,0.0640,0.719,0.0044,2.48
696,replay,48,4000,0.0898,1.000,0.0049,0.61
697,mutate,48,4000,0.0659,0.688,0.0050,2.49
698,new,48,4000,0.0472,0.750,0.0050,2.49
699,replay,48,4000,0.2107,1.000,0.0046,0.60
700,mutate,48,4000,0.0786,0.719,0.0047,2.49
701,replay,48,4000,0.2236,1.000,0.0043,0.60
702,mutate,48,4000,0.0606,0.719,0.0045,2.49
703,replay,48,4000,0.2116,1.000,0.0042,0.60
704,mutate,48,4000,0.0488,0.781,0.0043,2.50
705,new,48,4000,0.0102,0.625,0.0043,2.49
706,replay,48,4000,0.1264,1.000,0.0038,0.60
707,mutate,48,4000,0.0103,0.750,0.0038,2.48
708,replay,48,4000,-0.3223,1.000,0.0027,0.60
709,mutate,48,4000,0.0300,0.719,0.0030,2.49
710,new,48,4000,0.1061,0.812,0.0030,2.49
711,replay,48,4000,-0.2046,1.000,0.0027,0.60
712,mutate,48,4000,0.0884,0.781,0.0031,4.07
713,replay,48,4000,0.1812,1.000,0.0034,0.60
714,mutate,48,4000,0.1417,0.500,0.0040,2.49
715,replay,48,4000,0.3359,1.000,0.0041,0.60
716,mutate,48,4000,0.0982,0.688,0.0043,2.49
717,replay,48,4000,0.1795,1.000,0.0042,0.60
718,mutate,48,4000,0.0360,0.500,0.0043,2.49
719,replay,48,4000,0.2400,1.000,0.0041,0.60
720,mutate,48,4000,0.0950,0.594,0.0044,2.49
721,replay,48,4000,-0.1103,1.000,0.0041,0.60
722,mutate,48,4000,0.0516,0.688,0.0042,2.49
723,replay,48,4000,0.1854,1.000,0.0036,0.60
724,mutate,48,4000,0.0888,0.250,0.0039,2.49
725,replay,48,4000,0.1665,1.000,0.0039,0.60
726,mutate,48,4000,0.0733,0.688,0.0041,2.49
727,new,48,4000,0.0791,0.812,0.0041,2.49
728,replay,48,4000,0.4049,1.000,0.0044,0.60
729,mutate,48,4000,0.0842,0.812,0.0045,2.48
730,replay,48,4000,0.1488,1.000,0.0041,0.60
731,mutate,48,4000,0.0898,0.688,0.0042,2.49
732,new,48,4000,0.0497,0.875,0.0042,2.49
733,replay,48,4000,0.0393,1.000,0.0039,0.61
734,mutate,48,4000,0.0566,0.781,0.0039,2.49
735,replay,48,4000,0.1535,1.000,0.0035,0.60
736,mutate,48,4000,0.1082,0.656,0.0035,2.49
737,replay,48,4000,0.1024,1.000,0.0029,0.60
738,mutate,48,4000,0.0646,0.562,0.0029,2.49
739,replay,48,4000,0.0864,1.000,0.0025,0.60
740,mutate,48,4000,0.0469,0.656,0.0026,2.49
741,replay,48,4000,0.0667,1.000,0.0022,0.61
742,mutate,48,4000,0.0711,0.844,0.0022,2.49
743,new,48,4000,0.0117,0.938,0.0022,2.49
744,new,48,4000,0.0053,0.688,0.0022,2.50
745,replay,48,4000,0.1597,1.000,0.0020,0.60
746,mutate,48,4000,0.0680,0.500,0.0020,2.49
747,replay,48,4000,-0.0263,1.000,0.0020,0.61
748,mutate,48,4000,0.0762,0.688,0.0023,2.49
749,replay,48,4000,-0.0360,1.000,0.0019,0.60
750,mutate,48,4000,0.0251,0.719,0.0021,2.49
751,replay,48,4000,0.2434,1.000,0.0021,0.60
752,mutate,48,4000,0.1021,0.812,0.0021,2.49
753,replay,48,4000,0.3966,1.000,0.0024,0.60
754,mutate,48,4000,0.0221,0.656,0.0024,2.49
755,new,48,4000,0.0422,0.875,0.0024,2.50
756,replay,48,4000,0.2370,1.000,0.0022,0.61
757,mutate,48,4000,0.0000,0.594,0.0022,2.49
758,replay,48,4000,0.0377,1.000,0.0015,0.61
759,mutate,48,4000,0.0215,0.781,0.0017,2.49
760,new,48,4000,0.0682,0.812,0.0017,2.50
761,replay,48,4000,0.1035,1.000,0.0012,0.61
762,mutate,48,4000,0.0605,0.688,0.0013,2.50
763,new,48,4000,0.0324,0.875,0.0013,2.49
764,replay,48,4000,0.0360,1.000,0.0012,0.60
765,mutate,48,4000,0.0809,0.062,0.0013,2.49
766,replay,48,4000,0.1445,1.000,0.0008,0.60
767,mutate,48,4000,0.0516,0.750,0.0008,2.49
768,replay,48,4000,0.0960,1.000,0.0007,0.61
769,mutate,48,4000,0.0475,0.375,0.0007,2.49
770,replay,48,4000,-0.0952,1.000,0.0004,0.60
771,mutate,48,4000,0.0304,0.656,0.0005,2.49
772,replay,48,4000,-0.0375,1.000,0.0003,0.61
773,mutate,48,4000,0.0710,0.562,0.0006,2.50
774,replay,48,4000,0.3125,1.000,0.0006,0.61
775,mutate,48,4000,0.0482,0.562,0.0008,2.49
776,replay,48,4000,0.1166,1.000,0.0007,0.60
777,mutate,48,4000,0.0246,0.719,0.0007,2.49
778,replay,48,4000,0.0464,1.000,0.0004,0.61
779,mutate,48,4000,0.0000,0.125,0.0004,2.50
780,replay,48,4000,-0.1383,1.000,-0.0001,0.60
781,mutate,48,4000,0.0000,0.594,-0.0001,2.49
782,replay,48,4000,0.2399,1.000,-0.0001,0.60
783,mutate,48,4000,0.1531,0.562,0.0004,2.49
784,replay,48,4000,0.2899,1.000,0.0002,0.61
785,mutate,48,4000,0.0411,0.781,0.0004,2.50
786,replay,48,4000,0.2436,1.000,0.0000,0.60
787,mutate,48,4000,0.0105,0.781,0.0001,2.54
788,replay,48,4000,0.0091,1.000,-0.0001,0.61
789,mutate,48,4000,0.0863,0.406,-0.0000,2.61
790,replay,48,4000,-0.0942,1.000,-0.0003,0.61
791,mutate,48,4000,0.0870,0.750,0.0003,2.53
792,replay,48,4000,-0.0630,1.000,0.0002,0.61
793,mutate,48,4000,0.0639,0.781,0.0006,2.59
794,new,48,4000,0.1001,0.625,0.0007,2.59
795,new,48,4000,0.1430,0.812,0.0011,2.60
796,replay,48,4000,0.2399,1.000,0.0009,0.62
797,mutate,48,4000,0.0522,0.625,0.0012,2.56
798,new,48,4000,0.1077,0.812,0.0014,2.54
799,new,48,4000,0.0833,1.000,0.0015,2.50
800,replay,48,4000,0.3570,1.000,0.0014,0.60
801,mutate,48,4000,0.0515,0.875,0.0014,2.60
802,replay,48,4000,0.2246,1.000,0.0013,0.63
803,mutate,48,4000,0.0660,0.656,0.0013,2.59
804,replay,48,4000,-0.1612,1.000,0.0008,0.61
805,mutate,48,4000,0.0618,0.688,0.0008,2.56
806,replay,48,4000,0.1468,1.000,0.0005,0.61
807,mutate,48,4000,0.0575,0.875,0.0007,2.54
808,replay,48,4000,0.0891,1.000,0.0010,0.60
809,mutate,48,4000,0.0510,0.406,0.0011,2.49
810,replay,48,4000,0.1508,1.000,0.0016,0.60
811,mutate,48,4000,0.1132,0.562,0.0019,2.49
812,replay,48,4000,0.2630,1.000,0.0020,0.60
813,mutate,48,4000,0.1681,0.656,0.0028,2.49
814,replay,48,4000,0.2925,1.000,0.0032,0.60
815,mutate,48,4000,0.0334,0.688,0.0033,2.49
816,replay,48,4000,0.2540,1.000,0.0034,0.60
817,mutate,48,4000,0.0507,0.438,0.0036,2.49
818,replay,48,4000,0.3247,1.000,0.0038,0.60
819,mutate,48,4000,0.0502,0.781,0.0040,2.48
820,replay,48,4000,0.2374,1.000,0.0037,0.60
821,mutate,48,4000,0.1208,0.750,0.0038,2.49
822,replay,48,4000,-0.0404,1.000,0.0036,0.61
823,mutate,48,4000,0.0331,0.312,0.0037,2.49
824,replay,48,4000,0.2608,1.000,0.0037,0.61
825,mutate,48,4000,0.1003,0.625,0.0037,2.49
826,new,48,4000,0.1597,0.875,0.0037,2.49
827,replay,48,4000,-0.1406,1.000,0.0035,0.60
828,mutate,48,4000,0.0783,0.750,0.0037,2.49
829,replay,48,4000,0.2403,1.000,0.0036,0.60
830,mutate,48,4000,0.1354,0.750,0.0037,2.49
831,replay,48,4000,0.0985,1.000,0.0039,0.60
832,mutate,48,4000,0.0295,0.594,0.0040,2.49
833,replay,48,4000,-0.0274,1.000,0.0040,0.60
834,mutate,48,4000,0.0580,0.594,0.0043,4.26
835,replay,48,4000,0.1929,1.000,0.0044,0.60
836,mutate,48,4000,0.0957,0.812,0.0049,2.50
837,replay,48,4000,0.2827,1.000,0.0050,0.60
838,mutate,48,4000,0.1026,0.719,0.0053,2.49
839,replay,48,4000,0.2193,1.000,0.0053,0.60
840,mutate,48,4000,0.1110,0.719,0.0056,2.49
841,replay,48,4000,0.1541,1.000,0.0057,0.60
842,mutate,48,4000,0.0598,0.750,0.0059,2.49
843,new,48,4000,0.0916,0.812,0.0065,2.49
844,replay,48,4000,0.3517,1.000,0.0069,0.60
845,mutate,48,4000,0.0217,0.500,0.0070,2.49
846,replay,48,4000,0.0677,1.000,0.0069,0.61
847,mutate,48,4000,0.0963,0.688,0.0074,2.49
848,new,48,4000,0.1456,0.750,0.0074,2.50
849,replay,48,4000,0.2822,1.000,0.0075,0.60
850,mutate,48,4000,0.0000,0.562,0.0075,2.49
851,new,48,4000,0.1618,0.500,0.0075,2.49
852,replay,48,4000,0.2639,1.000,0.0076,0.60
853,mutate,48,4000,0.1375,0.594,0.0077,2.49
854,replay,48,4000,0.1498,1.000,0.0078,0.61
855,mutate,48,4000,0.1199,0.781,0.0078,2.49
856,replay,48,4000,0.0388,1.000,0.0076,0.61
857,mutate,48,4000,0.0567,0.719,0.0077,2.49
858,replay,48,4000,0.1823,1.000,0.0077,0.60
859,mutate,48,4000,0.0626,0.719,0.0077,2.49
860,new,48,4000,0.0685,0.750,0.0077,2.50
861,replay,48,4000,0.2130,1.000,0.0079,0.60
862,mutate,48,4000,0.0865,0.812,0.0079,2.49
863,replay,48,4000,0.2283,1.000,0.0079,0.61
864,mutate,48,4000,0.0350,0.531,0.0079,2.49
865,replay,48,4000,0.1781,1.000,0.0079,0.60
866,mutate,48,4000,0.0217,0.438,0.0080,2.49
867,replay,48,4000,0.2656,1.000,0.0081,0.60
868,mutate,48,4000,0.1250,0.562,0.0083,2.52
869,replay,48,4000,0.1843,1.000,0.0081,0.61
870,mutate,48,4000,0.1341,0.562,0.0082,2.49
871,replay,48,4000,-0.0351,1.000,0.0084,0.61
872,mutate,48,4000,0.0401,0.875,0.0085,2.49
873,replay,48,4000,0.2410,1.000,0.0083,0.60
874,mutate,48,4000,0.0737,0.719,0.0085,2.49
875,replay,48,4000,0.2837,1.000,0.0086,0.60
876,mutate,48,4000,0.1234,0.625,0.0086,2.49
877,replay,48,4000,0.2747,1.000,0.0085,0.60
878,mutate,48,4000,0.0924,0.719,0.0086,2.50
879,replay,48,4000,0.2069,1.000,0.0082,0.61
880,mutate,48,4000,0.0438,0.656,0.0083,2.49
881,replay,48,4000,0.0716,1.000,0.0079,0.60
882,mutate,48,4000,0.0406,0.844,0.0079,2.49
883,replay,48,4000,0.0740,1.000,0.0075,0.60
884,mutate,48,4000,0.0965,0.688,0.0075,2.49
885,replay,48,4000,-0.0406,1.000,0.0069,0.60
886,mutate,48,4000,0.0896,0.719,0.0071,2.49
887,replay,48,4000,0.1667,1.000,0.0071,0.60
888,mutate,48,4000,0.1618,0.625,0.0071,2.49
889,new,48,4000,0.0480,1.000,0.0071,2.50
890,replay,48,4000,0.1159,1.000,0.0070,0.61
891,mutate,48,4000,0.0527,0.312,0.0071,2.49
892,replay,48,4000,-0.0158,1.000,0.0066,0.61
893,mutate,48,4000,0.0348,0.500,0.0066,2.50
894,new,48,4000,0.0419,0.875,0.0066,2.51
895,replay,48,4000,0.1613,1.000,0.0062,0.61
896,mutate,48,4000,0.0968,0.844,0.0063,2.51
897,replay,48,4000,0.1551,1.000,0.0063,0.61
898,mutate,48,4000,0.1205,0.562,0.0063,2.51
899,replay,48,4000,0.1816,1.000,0.0061,0.61
900,mutate,48,4000,0.1058,0.750,0.0061,2.52
901,new,48,4000,0.0403,0.938,0.0061,2.51
902,new,48,4000,0.0819,0.688,0.0061,2.51
903,new,48,4000,0.0731,0.938,0.0061,2.50
904,replay,48,4000,0.1437,1.000,0.0058,0.61
905,mutate,48,4000,0.1054,0.469,0.0058,2.51
906,replay,48,4000,-0.2083,1.000,0.0055,0.61
907,mutate,48,4000,0.0645,0.938,0.0056,2.51
908,new,48,4000,0.0693,0.875,0.0056,2.50
909,replay,48,4000,0.2164,1.000,0.0057,0.60
910,mutate,48,4000,0.1674,0.531,0.0057,2.50
911,replay,48,4000,0.1844,1.000,0.0063,0.61
912,mutate,48,4000,0.0615,0.656,0.0063,2.50
913,new,48,4000,0.0659,0.812,0.0063,2.51
914,new,48,4000,0.0884,0.750,0.0063,2.51
915,replay,48,4000,0.1238,1.000,0.0063,0.61
916,mutate,48,4000,0.0934,0.656,0.0063,2.50
917,replay,48,4000,0.1726,1.000,0.0067,0.61
918,mutate,48,4000,0.1065,0.656,0.0067,2.51
919,new,48,4000,0.0421,0.812,0.0068,2.52
920,replay,48,4000,0.2070,1.000,0.0068,0.61
921,mutate,48,4000,0.0624,0.594,0.0069,2.50
922,new,48,4000,0.0646,0.875,0.0069,2.51
923,replay,48,4000,0.1977,1.000,0.0067,0.61
924,mutate,48,4000,0.1262,0.719,0.0069,2.50
925,replay,48,4000,0.2664,1.000,0.0075,0.61
926,mutate,48,4000,0.1452,0.594,0.0076,2.50
927,new,48,4000,0.0990,0.812,0.0076,2.51
928,replay,48,4000,0.3075,1.000,0.0077,0.61
929,mutate,48,4000,0.1294,0.469,0.0077,2.51
930,replay,48,4000,0.2464,1.000,0.0077,0.61
931,mutate,48,4000,0.2157,0.469,0.0077,2.50
932,replay,48,4000,0.2732,1.000,0.0077,0.61
933,mutate,48,4000,0.0876,0.844,0.0077,2.50
934,replay,48,4000,0.1473,1.000,0.0073,0.61
935,mutate,48,4000,0.0180,0.719,0.0073,2.49
936,replay,48,4000,0.0791,1.000,0.0067,0.60
937,mutate,48,4000,0.0350,0.562,0.0069,2.49
938,new,48,4000,0.0389,0.875,0.0069,2.50
939,replay,48,4000,0.0564,1.000,0.0068,0.60
