metric,mean,std,p05,p50,p95
cluttr_norm,5.777513544977467,0.5255055948383086,4.940017903355482,5.7627891972021335,6.662982775721048
maze_norm,7.9995694074839765,0.7077905364164087,6.78548675153652,8.022397010601104,9.133704692870108
