code,mean_confidence,std_confidence,mean_cell_edit_rate,mean_pattern_change_rate,top_canonical_pattern_id,top_canonical_pattern_prob_all_sites,top_canonical_pattern_prob_top_quartile_sites,num_unique_canonical_patterns
0,0.9666951298713684,0.00865988153964281,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
1,0.8100038766860962,0.03640911728143692,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
2,0.7910942435264587,0.03811424970626831,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
3,0.9506291151046753,0.012683337554335594,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
4,0.617017388343811,0.04696929082274437,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
5,0.4005145728588104,0.04411810263991356,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
6,0.3959610164165497,0.044024642556905746,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
7,0.855175256729126,0.030977629125118256,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
8,0.5409645438194275,0.04804143309593201,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
9,0.5609921216964722,0.047769367694854736,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
10,0.7487289905548096,0.04132513701915741,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
11,0.59607994556427,0.0474177822470665,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
12,0.6925368309020996,0.045179542154073715,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
13,0.631780207157135,0.04693750664591789,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
14,0.8118444085121155,0.03612297773361206,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
15,0.5349357724189758,0.047605011612176895,0.1465561224489796,0.8842474222183228,0,1.0,1.0,1
