update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
116,replay,3136,0.0622,1.000,-0.0125,0.61
117,replay,3136,0.1414,1.000,-0.0125,0.60
118,replay,3136,0.1337,1.000,-0.0125,0.60
119,replay,3136,0.1838,1.000,-0.0129,0.60
120,replay,3136,0.0919,1.000,-0.0135,0.60
121,replay,3136,0.0159,1.000,-0.0137,0.60
122,replay,3136,0.0010,1.000,-0.0140,0.60
123,replay,3136,-0.0404,1.000,-0.0141,0.60
124,replay,3136,0.0745,1.000,-0.0134,0.60
125,replay,3136,0.0802,1.000,-0.0135,0.60
126,replay,3136,0.1699,1.000,-0.0133,0.60
127,es_step,3200,0.0000,1.000,-0.0131,2.53
128,es_step,3264,0.0000,1.000,-0.0128,2.53
129,replay,3264,0.0210,1.000,-0.0132,0.60
130,es_step,3328,0.0000,1.000,-0.0130,2.53
131,replay,3328,0.1378,1.000,-0.0133,0.60
132,replay,3328,0.1944,1.000,-0.0134,0.60
133,replay,3328,0.2655,1.000,-0.0137,0.61
134,replay,3328,0.1608,1.000,-0.0135,0.60
135,replay,3328,0.0155,1.000,-0.0141,0.60
136,replay,3328,0.1870,1.000,-0.0141,0.60
137,replay,3328,0.0968,1.000,-0.0143,0.60
138,replay,3328,0.0826,1.000,-0.0146,0.60
139,replay,3328,0.2437,1.000,-0.0146,0.60
140,replay,3328,0.1097,1.000,-0.0150,0.60
141,es_step,3392,0.0000,1.000,-0.0147,2.52
142,replay,3392,0.1429,1.000,-0.0152,0.61
143,replay,3392,0.1364,1.000,-0.0149,0.60
144,replay,3392,-0.0237,1.000,-0.0153,0.61
145,es_step,3456,0.0000,1.000,-0.0150,2.52
146,replay,3456,0.1008,1.000,-0.0154,0.60
147,replay,3456,0.1423,1.000,-0.0150,0.60
148,replay,3456,0.0856,1.000,-0.0153,0.61
149,replay,3456,0.1916,1.000,-0.0152,0.60
150,es_step,3520,0.0000,1.000,-0.0149,2.53
151,replay,3520,0.2341,1.000,-0.0153,0.60
152,replay,3520,0.0732,1.000,-0.0159,0.60
153,replay,3520,0.1990,1.000,-0.0159,0.61
154,replay,3520,0.0574,1.000,-0.0158,0.99
155,replay,3520,0.0725,1.000,-0.0154,0.60
156,replay,3520,0.1651,1.000,-0.0157,0.60
157,replay,3520,0.1484,1.000,-0.0160,0.60
158,replay,3520,0.1453,1.000,-0.0162,0.60
159,replay,3520,0.0389,1.000,-0.0169,0.60
160,replay,3520,0.1509,1.000,-0.0172,0.60
161,replay,3520,0.1187,1.000,-0.0175,0.60
162,es_step,3584,0.0000,1.000,-0.0172,2.53
163,es_step,3648,0.0000,1.000,-0.0169,2.53
164,replay,3648,0.1995,1.000,-0.0173,0.61
165,replay,3648,0.1246,1.000,-0.0170,0.60
166,replay,3648,0.0201,1.000,-0.0168,0.61
167,es_step,3712,0.0000,1.000,-0.0165,2.53
168,replay,3712,0.2299,1.000,-0.0170,0.60
169,replay,3712,0.1656,1.000,-0.0170,0.60
170,replay,3712,0.0805,1.000,-0.0173,0.60
171,replay,3712,0.0593,1.000,-0.0172,0.60
172,replay,3712,0.1372,1.000,-0.0171,0.60
173,replay,3712,-0.0245,1.000,-0.0175,0.61
174,replay,3712,0.0946,1.000,-0.0171,0.60
175,replay,3712,0.2539,1.000,-0.0167,0.60
176,replay,3712,0.2641,1.000,-0.0166,0.60
177,replay,3712,0.0661,1.000,-0.0170,0.60
178,replay,3712,0.1394,1.000,-0.0173,0.60
179,replay,3712,0.2437,1.000,-0.0169,0.61
180,replay,3712,0.2769,1.000,-0.0169,0.60
181,replay,3712,0.1981,1.000,-0.0169,0.60
182,es_step,3776,0.0000,1.000,-0.0164,2.53
183,replay,3776,0.0459,1.000,-0.0172,0.61
184,replay,3776,0.2591,1.000,-0.0171,0.60
185,replay,3776,0.1746,1.000,-0.0177,0.60
186,replay,3776,0.1268,1.000,-0.0184,0.60
187,replay,3776,0.1598,1.000,-0.0186,0.60
188,replay,3776,0.0775,1.000,-0.0191,0.60
189,replay,3776,0.2562,1.000,-0.0194,0.61
190,es_step,3840,0.0000,1.000,-0.0191,2.53
191,replay,3840,-0.0120,1.000,-0.0195,0.61
192,replay,3840,0.2072,1.000,-0.0191,0.60
193,replay,3840,0.2038,1.000,-0.0193,0.60
194,replay,3840,0.3175,1.000,-0.0196,0.60
195,replay,3840,0.1647,1.000,-0.0200,0.60
196,replay,3840,0.2546,1.000,-0.0206,0.60
197,replay,3840,0.2543,1.000,-0.0212,0.60
198,replay,3840,0.2534,1.000,-0.0212,0.60
199,replay,3840,0.2136,1.000,-0.0211,0.60
200,replay,3840,0.3112,1.000,-0.0210,0.60
201,replay,3840,0.1456,1.000,-0.0215,0.61
202,replay,3840,0.1522,1.000,-0.0219,0.60
203,replay,3840,0.2826,1.000,-0.0219,0.60
204,replay,3840,0.2633,1.000,-0.0220,0.60
205,es_step,3904,0.1168,1.000,-0.0203,2.52
206,replay,3904,0.2643,1.000,-0.0203,0.60
207,es_step,3968,0.0000,1.000,-0.0200,2.52
208,replay,3968,0.1959,1.000,-0.0202,0.60
209,replay,3968,-0.1103,1.000,-0.0207,0.60
210,replay,3968,0.0233,1.000,-0.0209,0.60
211,replay,3968,0.3939,1.000,-0.0211,0.60
212,replay,3968,0.3208,1.000,-0.0211,0.60
213,replay,3968,0.1430,1.000,-0.0216,0.60
214,es_step,4000,0.0000,1.000,-0.0214,2.53
215,replay,4000,0.3886,1.000,-0.0215,0.61
216,replay,4000,0.2919,1.000,-0.0216,0.60
217,replay,4000,0.3540,1.000,-0.0218,0.60
218,replay,4000,0.3319,1.000,-0.0219,0.60
219,replay,4000,0.0782,1.000,-0.0228,0.60
220,replay,4000,0.1244,1.000,-0.0228,0.60
221,replay,4000,0.1020,1.000,-0.0231,0.60
222,es_step,4000,0.0000,1.000,-0.0230,2.52
223,replay,4000,0.1760,1.000,-0.0228,0.61
224,replay,4000,0.2694,1.000,-0.0233,0.60
225,replay,4000,0.0247,1.000,-0.0236,0.60
226,replay,4000,0.4130,1.000,-0.0238,0.60
227,es_step,4000,0.0181,1.000,-0.0225,2.52
228,replay,4000,0.3663,1.000,-0.0229,0.60
229,replay,4000,0.1492,1.000,-0.0234,0.60
230,replay,4000,-0.2063,1.000,-0.0242,0.60
231,es_step,4000,0.0157,1.000,-0.0236,2.99
232,replay,4000,0.0541,1.000,-0.0236,0.61
233,replay,4000,0.3855,1.000,-0.0232,0.60
234,replay,4000,0.0650,1.000,-0.0230,0.60
235,replay,4000,0.1930,1.000,-0.0233,0.60
236,es_step,4000,0.0527,1.000,-0.0222,2.53
237,replay,4000,0.1941,1.000,-0.0222,0.60
238,replay,4000,0.0982,1.000,-0.0220,0.60
239,es_step,4000,0.0180,1.000,-0.0216,2.52
240,replay,4000,0.4337,1.000,-0.0215,0.61
241,replay,4000,0.1699,1.000,-0.0216,0.60
242,es_step,4000,0.0767,1.000,-0.0200,2.53
243,es_step,4000,0.1593,1.000,-0.0187,2.53
244,es_step,4000,0.0641,1.000,-0.0183,2.53
245,es_step,4000,0.1102,1.000,-0.0175,2.53
246,replay,4000,0.2861,1.000,-0.0171,0.61
247,replay,4000,0.1538,1.000,-0.0173,0.60
248,replay,4000,-0.1010,1.000,-0.0178,0.60
249,replay,4000,0.1671,1.000,-0.0178,0.60
250,replay,4000,0.4099,1.000,-0.0176,0.60
251,replay,4000,0.3051,1.000,-0.0174,0.60
252,replay,4000,0.2904,1.000,-0.0175,0.60
253,replay,4000,0.0015,1.000,-0.0179,0.60
254,replay,4000,0.0841,1.000,-0.0180,0.60
255,es_step,4000,0.0311,1.000,-0.0171,2.53
256,replay,4000,0.1185,1.000,-0.0172,0.60
257,es_step,4000,0.0000,1.000,-0.0165,2.53
258,replay,4000,0.1722,1.000,-0.0165,0.60
259,replay,4000,0.4001,1.000,-0.0164,0.60
260,replay,4000,-0.0070,1.000,-0.0172,0.60
261,replay,4000,0.1200,1.000,-0.0172,0.60
262,replay,4000,-0.0574,1.000,-0.0178,0.60
263,replay,4000,0.2437,1.000,-0.0172,0.60
264,replay,4000,0.3539,1.000,-0.0168,0.60
265,replay,4000,0.0949,1.000,-0.0172,0.60
266,replay,4000,0.3044,1.000,-0.0167,0.60
267,replay,4000,0.2506,1.000,-0.0166,0.61
268,replay,4000,0.1700,1.000,-0.0172,0.60
269,replay,4000,0.2267,1.000,-0.0171,0.60
270,replay,4000,-0.0157,1.000,-0.0178,0.60
271,es_step,4000,0.0000,1.000,-0.0176,2.53
272,replay,4000,0.2580,1.000,-0.0171,0.61
273,es_step,4000,0.0081,1.000,-0.0171,2.53
274,replay,4000,0.2689,1.000,-0.0171,0.61
275,replay,4000,0.1061,1.000,-0.0172,0.61
276,replay,4000,0.0684,1.000,-0.0174,0.60
277,replay,4000,0.1923,1.000,-0.0176,0.60
278,replay,4000,0.3106,1.000,-0.0173,0.60
279,replay,4000,0.0952,1.000,-0.0179,0.60
280,replay,4000,0.2354,1.000,-0.0180,0.61
281,replay,4000,0.2943,1.000,-0.0180,0.60
282,es_step,4000,0.0104,1.000,-0.0178,2.53
283,es_step,4000,0.0157,1.000,-0.0178,2.53
284,replay,4000,0.1568,1.000,-0.0180,0.61
285,replay,4000,-0.0243,1.000,-0.0185,0.60
286,replay,4000,0.2095,1.000,-0.0185,0.60
287,replay,4000,0.1250,1.000,-0.0185,0.60
288,replay,4000,0.2645,1.000,-0.0182,0.60
289,replay,4000,-0.0053,1.000,-0.0186,0.60
290,replay,4000,0.1815,1.000,-0.0186,0.60
291,replay,4000,0.2932,1.000,-0.0185,0.61
292,es_step,4000,0.0116,1.000,-0.0184,2.53
293,replay,4000,0.2340,1.000,-0.0184,0.61
294,replay,4000,0.2404,1.000,-0.0182,0.60
295,replay,4000,0.2411,1.000,-0.0180,0.60
296,replay,4000,0.0950,1.000,-0.0184,0.60
297,es_step,4000,0.0000,1.000,-0.0184,2.53
298,replay,4000,0.1926,1.000,-0.0185,0.61
299,es_step,4000,0.0062,1.000,-0.0185,3.06
300,replay,4000,0.0912,1.000,-0.0188,0.61
301,replay,4000,0.2691,1.000,-0.0185,0.60
302,es_step,4000,0.0055,1.000,-0.0185,2.53
303,replay,4000,0.1943,1.000,-0.0183,0.61
304,es_step,4000,0.0000,1.000,-0.0183,2.53
305,replay,4000,0.1250,1.000,-0.0186,0.61
306,replay,4000,-0.0932,1.000,-0.0193,0.60
307,replay,4000,0.2849,1.000,-0.0187,0.60
308,replay,4000,0.0389,1.000,-0.0188,0.60
309,replay,4000,0.2224,1.000,-0.0187,0.60
310,replay,4000,0.2047,1.000,-0.0187,0.60
311,replay,4000,0.0924,1.000,-0.0188,0.60
312,replay,4000,0.1381,1.000,-0.0189,0.60
313,es_step,4000,0.0108,1.000,-0.0187,2.53
314,replay,4000,0.2087,1.000,-0.0185,0.61
315,replay,4000,0.1536,1.000,-0.0184,0.61
316,replay,4000,0.2714,1.000,-0.0177,0.60
317,es_step,4000,0.0034,1.000,-0.0177,2.52
318,replay,4000,0.1237,1.000,-0.0175,0.61
319,replay,4000,0.0849,1.000,-0.0171,0.60
320,replay,4000,0.2920,1.000,-0.0168,0.60
321,replay,4000,0.2187,1.000,-0.0167,0.60
322,replay,4000,0.1205,1.000,-0.0171,0.60
323,es_step,4000,0.0018,1.000,-0.0170,2.53
324,es_step,4000,0.0122,1.000,-0.0168,2.53
325,replay,4000,0.2564,1.000,-0.0168,0.61
326,replay,4000,0.2994,1.000,-0.0161,0.60
327,replay,4000,0.1873,1.000,-0.0160,0.60
328,replay,4000,0.2250,1.000,-0.0160,0.60
329,replay,4000,0.1841,1.000,-0.0158,0.60
330,replay,4000,0.2879,1.000,-0.0152,0.60
331,es_step,4000,0.0156,1.000,-0.0152,2.53
332,replay,4000,0.1832,1.000,-0.0151,0.60
333,replay,4000,0.0874,1.000,-0.0152,0.61
334,es_step,4000,0.0038,1.000,-0.0151,2.53
335,replay,4000,0.1950,1.000,-0.0150,0.61
336,es_step,4000,0.0020,1.000,-0.0150,2.53
337,replay,4000,0.1519,1.000,-0.0150,0.61
338,es_step,4000,0.0000,1.000,-0.0150,2.53
339,replay,4000,0.1632,1.000,-0.0154,0.61
340,replay,4000,0.2506,1.000,-0.0152,0.60
341,es_step,4000,0.0000,1.000,-0.0152,2.53
