update,mode,buffer_size,mean_regret_candidates,valid_fraction,mean_buffer_score,time_s
264,replay,3392,0.2412,1.000,-0.0179,0.59
265,replay,3392,0.1623,1.000,-0.0181,0.59
266,es_step,3424,0.0000,1.000,-0.0180,1.19
267,replay,3424,0.2684,1.000,-0.0176,0.59
268,es_step,3456,0.0000,1.000,-0.0175,1.19
269,es_step,3488,0.0000,1.000,-0.0173,1.19
270,replay,3488,0.3795,1.000,-0.0174,0.59
271,replay,3488,0.2769,1.000,-0.0174,0.59
272,replay,3488,0.3793,1.000,-0.0172,0.60
273,replay,3488,0.5219,1.000,-0.0160,0.59
274,replay,3488,0.0235,1.000,-0.0161,0.59
275,es_step,3520,0.0000,1.000,-0.0160,1.19
276,es_step,3552,0.0000,1.000,-0.0158,1.19
277,replay,3552,0.2379,1.000,-0.0154,0.59
278,replay,3552,0.3675,1.000,-0.0153,0.60
279,replay,3552,0.2703,1.000,-0.0150,0.59
280,es_step,3584,0.0000,1.000,-0.0148,1.19
281,replay,3584,0.2153,1.000,-0.0148,0.59
282,replay,3584,0.2671,1.000,-0.0150,0.59
283,replay,3584,0.2529,1.000,-0.0147,0.59
284,replay,3584,0.1491,1.000,-0.0146,0.59
285,replay,3584,0.1152,1.000,-0.0143,0.59
286,replay,3584,0.2719,1.000,-0.0141,0.59
287,replay,3584,-0.0471,1.000,-0.0140,0.59
288,replay,3584,0.3315,1.000,-0.0135,0.59
289,replay,3584,0.2283,1.000,-0.0133,0.59
290,replay,3584,-0.0283,1.000,-0.0137,0.59
291,replay,3584,0.1648,1.000,-0.0129,0.59
292,replay,3584,0.1821,1.000,-0.0131,0.59
293,replay,3584,0.2412,1.000,-0.0125,0.59
294,replay,3584,0.1377,1.000,-0.0127,0.59
295,replay,3584,0.0041,1.000,-0.0129,0.59
296,replay,3584,0.3777,1.000,-0.0123,0.59
297,replay,3584,0.2321,1.000,-0.0126,0.59
298,replay,3584,-0.0638,1.000,-0.0126,0.59
