code,count,mean_center_wall_density,top_raw_pattern_id,top_raw_pattern_prob,top_canonical_pattern_id,top_canonical_pattern_prob
0.0,593.0,0.006138279774535642,0.0,0.8465430016863407,0.0,0.8465430016863407
1.0,20.0,0.1139999981969595,520560.65,0.55,6522.25,0.55
2.0,275.0,0.1073454488678412,409570.2036363636,0.06909090909090909,333.9709090909091,0.10909090909090909
3.0,316.0,0.04075949518835243,287820.85126582277,0.1550632911392405,9.329113924050633,0.370253164556962
4.0,235.0,0.21225531874819004,85085.24680851064,0.06808510638297872,3370.1446808510636,0.06808510638297872
5.0,127.0,0.33732284429505116,1916953.1811023622,0.12598425196850394,280461.5433070866,0.12598425196850394
6.0,215.0,0.3173953587232634,400106.2465116279,0.07441860465116279,93230.7023255814,0.07441860465116279
7.0,384.0,0.0631249977547365,2977982.7317708335,0.11458333333333333,1.0546875,0.20833333333333334
8.0,23.0,0.28695652277573297,3038576.434782609,0.4782608695652174,556533.4347826086,0.4782608695652174
9.0,261.0,0.23999999788985854,71106.68965517242,0.06130268199233716,9786.498084291188,0.06130268199233716
10.0,293.0,0.1339249105888829,1214.2184300341296,0.05460750853242321,13606.976109215017,0.07849829351535836
11.0,3.0,0.2399999996026357,15794348.0,1.0,527969.0,1.0
12.0,577.0,0.1646446988787147,935215.9358752166,0.03119584055459272,105985.92547660312,0.04852686308492201
13.0,216.0,0.19648148692040532,89365.85185185185,0.07407407407407407,1508.5416666666667,0.07407407407407407
14.0,239.0,0.08953974826191259,44842.535564853555,0.08368200836820083,955.2635983263598,0.14644351464435146
15.0,319.0,0.2648275729070263,254542.02194357367,0.050156739811912224,18054.76489028213,0.050156739811912224
