code,count,mean_center_wall_density,top_raw_pattern_id,top_raw_pattern_prob,top_canonical_pattern_id,top_canonical_pattern_prob
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,746.0,0.0,0.0,1.0,0.0,1.0
2.0,18.0,0.1111111119389534,16.0,1.0,16.0,1.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,342.0,0.33333334745022286,94.2280701754386,0.11403508771929824,28.055555555555557,0.2309941520467836
5.0,385.0,0.4323232389889754,137.0857142857143,0.08311688311688312,31.636363636363637,0.12987012987012986
6.0,595.0,0.22222223013889889,56.46050420168067,0.11092436974789915,8.521008403361344,0.32100840336134456
7.0,615.0,0.0,0.0,1.0,0.0,1.0
8.0,73.0,0.11111111765446728,16.0,1.0,16.0,1.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,64.0,0.22222222737036645,18.75,0.515625,16.953125,0.65625
12.0,671.0,0.11111111776839426,14.524590163934427,0.21758569299552907,1.061102831594635,0.555886736214605
13.0,162.0,0.2222222414465598,65.54938271604938,0.2962962962962963,14.709876543209877,0.5308641975308642
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,425.0,0.11111111712806365,50.98823529411764,0.24941176470588236,1.7129411764705882,0.6023529411764705
