pc,pc_std,step_multiplier,step_l2,plus_exact_match_rate,minus_exact_match_rate,plus_same_wall_rate,minus_same_wall_rate,plus_mean_wall_hamming,minus_mean_wall_hamming,plus_mean_abs_wall_delta,minus_mean_abs_wall_delta,plus_mean_signed_wall_delta,minus_mean_signed_wall_delta,plus_mean_abs_bfs_delta_both_solvable,minus_mean_abs_bfs_delta_both_solvable,plus_solvability_flip_rate,minus_solvability_flip_rate,wall_count_plus_minus_mean_diff,wall_count_plus_minus_median_diff,wall_count_sign_consistency
1,1.646477460861206,0.25,0.4116193652153015,0.097,0.045,0.097,0.045,5.5,5.953000068664551,2.4079999923706055,3.5950000286102295,2.115999937057495,3.555000066757202,0.5761316872427984,0.4676258992805755,0.027,0.027,-1.439,-1.0,0.612
1,1.646477460861206,0.5,0.823238730430603,0.029,0.0,0.029,0.0,15.451000213623047,20.94300079345703,2.8589999675750732,14.456999778747559,1.5989999771118164,14.456999778747559,0.8581856100104275,1.2828947368421053,0.04,0.087,-12.858,-13.0,0.998
1,1.646477460861206,1.0,1.646477460861206,0.023,0.0,0.023,0.0,26.950000762939453,41.89099884033203,4.01800012588501,23.58300018310547,-3.4519999027252197,23.58300018310547,0.9350912778904665,2.075178997613365,0.014,0.161,-27.035,-28.0,1.0
1,1.646477460861206,2.0,3.292954921722412,0.02,0.0,0.02,0.0,30.41200065612793,63.38199996948242,11.541999816894531,38.959999084472656,-11.527999877929688,38.959999084472656,0.8199195171026157,4.237541528239203,0.006,0.397,-50.488,-51.0,1.0
2,0.745114803314209,0.25,0.18627870082855225,0.448,0.267,0.448,0.267,0.8709999918937683,1.437999963760376,0.640999972820282,0.9980000257492065,0.39100000262260437,0.8240000009536743,0.1035175879396985,0.16112789526686808,0.005,0.006,-0.433,0.0,0.444
2,0.745114803314209,0.5,0.3725574016571045,0.054,0.123,0.054,0.123,3.0169999599456787,2.677999973297119,1.6970000267028809,1.2799999713897705,1.5069999694824219,0.9940000176429749,0.36253776435045315,0.31350806451612906,0.007,0.007,0.513,1.0,0.521
2,0.745114803314209,1.0,0.745114803314209,0.003,0.002,0.003,0.002,6.0920000076293945,6.125,1.9160000085830688,1.965000033378601,1.5640000104904175,1.6729999780654907,0.4954314720812183,0.4262626262626263,0.015,0.009,-0.109,0.0,0.422
2,0.745114803314209,2.0,1.490229606628418,0.0,0.0,0.0,0.0,10.965999603271484,10.616000175476074,3.3320000171661377,3.2160000801086426,2.931999921798706,2.9100000858306885,0.7012195121951219,0.6628982528263104,0.015,0.027,0.022,0.0,0.461
3,0.7403270602226257,0.25,0.18508176505565643,0.344,0.437,0.344,0.437,1.1080000400543213,0.7260000109672546,0.7699999809265137,0.5899999737739563,0.5680000185966492,0.3240000009536743,0.19014084507042253,0.13453815261044177,0.006,0.003,0.244,0.0,0.334
3,0.7403270602226257,0.5,0.37016353011131287,0.016,0.069,0.016,0.069,2.7139999866485596,2.3299999237060547,1.2300000190734863,1.0579999685287476,0.9760000109672546,0.7760000228881836,0.2772177419354839,0.22054380664652568,0.007,0.006,0.2,0.0,0.405
3,0.7403270602226257,1.0,0.7403270602226257,0.016,0.001,0.016,0.001,5.230999946594238,5.566999912261963,1.5789999961853027,2.0490000247955322,1.2669999599456787,1.7369999885559082,0.35699797160243407,0.3746192893401015,0.013,0.015,-0.47,-1.0,0.52
3,0.7403270602226257,2.0,1.4806541204452515,0.0,0.0,0.0,0.0,8.947999954223633,10.147000312805176,2.7760000228881836,3.4730000495910645,2.5199999809265137,3.1570000648498535,0.524390243902439,0.6459816887080366,0.015,0.017,-0.637,-1.0,0.557
4,0.7290570735931396,0.25,0.1822642683982849,0.358,0.377,0.358,0.377,0.8790000081062317,0.8600000143051147,0.6869999766349792,0.6899999976158142,0.296999990940094,0.4580000042915344,0.10865191146881288,0.10653266331658291,0.006,0.004,-0.161,0.0,0.29
4,0.7290570735931396,0.5,0.3645285367965698,0.18,0.136,0.18,0.136,2.0139999389648438,2.555000066757202,0.7739999890327454,1.1670000553131104,0.3720000088214874,0.8669999837875366,0.14170854271356784,0.2535211267605634,0.005,0.005,-0.495,0.0,0.466
