pc,step_multiplier,step_l2,avg_mean_wall_hamming,avg_exact_match_rate,avg_solvability_flip_rate,wall_count_plus_minus_mean_diff,wall_count_sign_consistency
1,0.25,0.4116193652153015,5.726500034332275,0.07100000000000001,0.027,-1.439,0.612
1,0.5,0.823238730430603,18.19700050354004,0.0145,0.0635,-12.858,0.998
1,1.0,1.646477460861206,34.42049980163574,0.0115,0.08750000000000001,-27.035,1.0
1,2.0,3.292954921722412,46.897000312805176,0.01,0.2015,-50.488,1.0
2,0.25,0.18627870082855225,1.1544999778270721,0.35750000000000004,0.0055,-0.433,0.444
2,0.5,0.3725574016571045,2.847499966621399,0.0885,0.007,0.513,0.521
2,1.0,0.745114803314209,6.108500003814697,0.0025,0.012,-0.109,0.422
2,2.0,1.490229606628418,10.79099988937378,0.0,0.020999999999999998,0.022,0.461
3,0.25,0.18508176505565643,0.917000025510788,0.39049999999999996,0.0045000000000000005,0.244,0.334
3,0.5,0.37016353011131287,2.521999955177307,0.0425,0.006500000000000001,0.2,0.405
3,1.0,0.7403270602226257,5.398999929428101,0.0085,0.013999999999999999,-0.47,0.52
3,2.0,1.4806541204452515,9.547500133514404,0.0,0.016,-0.637,0.557
4,0.25,0.1822642683982849,0.8695000112056732,0.3675,0.005,-0.161,0.29
4,0.5,0.3645285367965698,2.284500002861023,0.158,0.005,-0.495,0.466
4,1.0,0.7290570735931396,4.577999830245972,0.0015,0.013,0.174,0.451
4,2.0,1.4581141471862793,8.312000036239624,0.0,0.0165,-0.508,0.462
5,0.25,0.17777414619922638,1.0095000267028809,0.303,0.0035,0.587,0.541
5,0.5,0.35554829239845276,2.30049991607666,0.1055,0.005,0.471,0.538
5,1.0,0.7110965847969055,4.430999994277954,0.0085,0.0095,-0.234,0.422
5,2.0,1.422193169593811,7.83050012588501,0.001,0.019,0.203,0.431
