sigma,mean_step_l2,child_solvable_rate,solvability_flip_rate,both_solvable_rate,exact_match_rate,same_wall_rate,same_goal_rate,same_agent_rate,mean_wall_hamming,mean_wall_hamming_frac,mean_abs_wall_delta,mean_goal_shift,mean_agent_shift,mean_abs_bfs_delta_both_solvable,latent_dim
0.01,0.07966213673353195,0.9995,0.0,0.9995,0.9285,0.9285,0.9995,1.0,0.07850000262260437,0.0004644970176741481,0.07050000131130219,0.0005000000237487257,0.0,0.009504752376188095,64
0.025,0.199245885014534,0.9955,0.004,0.9955,0.6925,0.693,0.9985,0.9995,0.46149998903274536,0.002730769105255604,0.32249999046325684,0.001500000013038516,0.0005000000237487257,0.048719236564540434,64
0.05,0.4004688858985901,0.9875,0.012,0.9875,0.231,0.2325,0.9795,0.982,2.504499912261963,0.014819527044892311,1.3574999570846558,0.03449999913573265,0.025499999523162842,0.29265822784810125,64
0.1,0.7964958548545837,0.9645,0.036,0.964,0.0095,0.0115,0.7995,0.8095,9.10949993133545,0.053902365267276764,3.821500062942505,0.5964999794960022,0.5040000081062317,1.2733402489626555,64
0.25,1.9910368919372559,0.94,0.0605,0.9395,0.0,0.0,0.2435,0.2265,24.57550048828125,0.14541715383529663,7.508500099182129,3.507999897003174,3.9179999828338623,3.8520489622139436,64
0.5,3.995621919631958,0.9365,0.064,0.936,0.0,0.0,0.0535,0.0605,35.72549819946289,0.21139349043369293,9.94950008392334,6.096499919891357,6.53249979019165,5.066239316239316,64
1.0,7.953799724578857,0.9425,0.058,0.942,0.0,0.0,0.0185,0.02,42.57600021362305,0.25192898511886597,12.045999526977539,7.548999786376953,7.749499797821045,5.203821656050955,64
