step,train/agent,train/agent_acc_masked,train/code_perplexity,train/goal,train/goal_acc_masked,train/jepa,train/mean_mask_fraction,train/num_active_codes,train/sigreg,train/total,train/wall,train/wall_acc_masked,val/agent,val/agent_acc_masked,val/code_perplexity,val/goal,val/goal_acc_masked,val/jepa,val/mean_mask_fraction,val/num_active_codes,val/sigreg,val/total,val/wall,val/wall_acc_masked
1.0,5.124421119689941,0.0,15.986215591430664,5.1202392578125,0.0,0.7968565225601196,0.18759246170520782,16.0,0.3068579435348511,3.600393533706665,0.6932333707809448,0.5110892057418823,5.12775057554245,0.0,15.983240723609924,5.12894469499588,0.0,0.6006156131625175,0.17607595399022102,16.0,0.30045801773667336,3.4048076272010803,0.6927613615989685,0.5268014296889305
100.0,4.960594654083252,0.0,14.927677154541016,4.941679000854492,0.0,0.0027549131773412228,0.18125924468040466,16.0,0.30415838956832886,2.47538685798645,0.43134555220603943,0.8462126851081848,5.010103225708008,0.004629629664123058,14.947819948196411,4.900211453437805,0.02003205195069313,0.0026038275682367384,0.1815597303211689,16.0,0.301695741713047,2.46153262257576,0.4165266640484333,0.8541676104068756
200.0,5.127552509307861,0.0,14.879902839660645,4.831324100494385,0.095238097012043,0.004578590393066406,0.1813517063856125,16.0,0.3084850013256073,2.4723970890045166,0.41434621810913086,0.8521539568901062,4.870361030101776,0.01962962932884693,14.889267325401306,4.955982029438019,0.005681818351149559,0.004105352971237153,0.1789767500013113,16.0,0.3045809268951416,2.437761664390564,0.4074714109301567,0.8562327101826668
300.0,4.716367244720459,0.0,14.22160816192627,4.810328006744385,0.0,0.010066308081150055,0.1875,16.0,0.31687384843826294,2.3535261154174805,0.3747459948062897,0.8634122014045715,4.922294974327087,0.01571969734504819,14.338915586471558,4.89386522769928,0.03141534421592951,0.010250134859234095,0.17849713750183582,16.0,0.30257826298475266,2.426079034805298,0.3920811228454113,0.8548758924007416
400.0,4.774792671203613,0.0,14.142749786376953,4.7793707847595215,0.0,0.01018589735031128,0.18014977872371674,14.0,0.29786205291748047,2.393184185028076,0.41259312629699707,0.8447523713111877,4.966364920139313,0.014823718462139368,14.103228449821472,4.895838499069214,0.0,0.00967943063005805,0.18239182978868484,14.0,0.29971398413181305,2.4292911291122437,0.38722823560237885,0.8585940226912498
500.0,4.811081409454346,0.0,14.970710754394531,4.906194686889648,0.0,0.021582333371043205,0.17950259149074554,16.0,0.2929058074951172,2.4089713096618652,0.3853527009487152,0.8583569526672363,4.946531236171722,0.00390625,14.884350419044495,4.981347441673279,0.004999999888241291,0.025211897678673267,0.1775147933512926,16.0,0.30263182148337364,2.4630579352378845,0.39174386113882065,0.8554675504565239
600.0,5.138311862945557,0.0,5.141830921173096,4.968594074249268,0.0,0.03537587821483612,0.17709875106811523,5.0,0.29820072650909424,2.5162742137908936,0.39987707138061523,0.8517358303070068,4.94381844997406,0.0297177922911942,6.0907997488975525,4.814687490463257,0.02629944495856762,0.03589813131839037,0.18023645505309105,5.0,0.296519935131073,2.4414073824882507,0.3945039212703705,0.8585938513278961
700.0,4.991389274597168,0.0,5.699748992919922,4.921449184417725,0.0,0.019480429589748383,0.1779770702123642,6.0,0.29494309425354004,2.4697728157043457,0.40873613953590393,0.8449350595474243,4.878066420555115,0.02444993471726775,5.4025450348854065,4.865228772163391,0.010745614301413298,0.019748108461499214,0.18026535026729107,5.5,0.3013770952820778,2.411001145839691,0.38231854885816574,0.8624385297298431
800.0,4.806978702545166,0.0,4.381577968597412,4.7717695236206055,0.03125,0.03173474594950676,0.17774593830108643,4.0,0.29174456000328064,2.4217002391815186,0.41586682200431824,0.845513641834259,4.840148866176605,0.016266026068478823,4.4969595074653625,4.955211758613586,0.012013730127364397,0.03378589218482375,0.1783815659582615,4.125,0.2970306910574436,2.447751671075821,0.3954875133931637,0.8571306094527245
900.0,5.061541557312012,0.0,7.176684379577637,4.585870265960693,0.0,0.021784871816635132,0.18370932340621948,6.0,0.28503817319869995,2.402787923812866,0.39451321959495544,0.8560644388198853,4.793596923351288,0.020505201071500778,7.046954154968262,4.907137155532837,0.020715852733701468,0.020830561174079776,0.17950259149074554,7.0,0.2954668663442135,2.404539257287979,0.3844684809446335,0.8617840334773064
