code,count,mean_masked_wall_density,goal_in_mask_rate,agent_in_mask_rate,mean_mask_center_y,mean_mask_center_x
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,380.0,0.19580458830061712,0.15526316222783768,0.19473684677167943,7.773684258210031,6.7131580001429505
3.0,233.0,0.14403621260828214,0.17596566581163284,0.13733905438701483,5.811158738934431,6.227467776368105
4.0,196.0,0.11504489038975871,0.2142857199116629,0.16836734918155233,4.846938780375889,5.785714295445656
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,215.0,0.10542677952799687,0.15813953847039577,0.17674418632374253,4.4186046600341795,5.269767552752827
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
