step,train/center,train/center_acc,train/center_exact_match,train/code_perplexity,train/entropy,train/jepa,train/mean_center_wall_density,train/num_active_codes,train/sigreg,train/total,train/usage_kl_uniform,val/center,val/center_acc,val/center_exact_match,val/code_perplexity,val/entropy,val/jepa,val/mean_center_wall_density,val/num_active_codes,val/sigreg,val/total,val/usage_kl_uniform
1.0,0.6871512532234192,0.6111111044883728,0.0078125,7.994055271148682,2.0784990787506104,0.8851205110549927,0.1401909738779068,8.0,0.29249539971351624,1.6515930891036987,0.0007433478021994233,0.6867897287011147,0.6124674491584301,0.001953125,7.992585986852646,2.0782694071531296,0.8044912964105606,0.14252387452870607,8.0,0.29538214579224586,1.5711865201592445,0.0009271424532926176
250.0,0.42642804980278015,0.84765625,0.328125,7.999900817871094,2.0793633460998535,0.003672057995572686,0.15234375,8.0,0.2983674108982086,0.510567843914032,1.2484290891734418e-05,0.4104574825614691,0.8552517332136631,0.334228515625,7.999887585639954,2.0793598890304565,0.003487162772216834,0.14474826585501432,8.0,0.30233779922127724,0.4952065050601959,1.4070728013848566e-05
500.0,0.3729188144207001,0.85546875,0.36328125,7.952092170715332,1.687583565711975,0.014187626540660858,0.14453125,8.0,0.3026312589645386,0.464808851480484,0.00600632606074214,0.3774225562810898,0.855984166264534,0.32763671875,7.950621008872986,1.7256550639867783,0.012085070600733161,0.1440158444456756,8.0,0.3019735962152481,0.46746897138655186,0.006201548967510462
750.0,0.3668142855167389,0.84765625,0.296875,7.964130878448486,1.4930925369262695,0.006310882978141308,0.15234375,8.0,0.3064684271812439,0.44957447052001953,0.004493489395827055,0.345013290643692,0.8527832068502903,0.328125,7.940858453512192,1.489338956773281,0.003793356765527278,0.14721679780632257,8.0,0.2981816213577986,0.4237075336277485,0.007423463539453223
1000.0,0.33818796277046204,0.8619791865348816,0.34375,7.834228515625,1.4307334423065186,0.004824289120733738,0.1380208283662796,8.0,0.29082703590393066,0.41653192043304443,0.020939277485013008,0.33873945847153664,0.8528645858168602,0.32470703125,7.9156679809093475,1.4361130371689796,0.0023527900921180844,0.1471354179084301,8.0,0.2984814029186964,0.41568013094365597,0.01060943867196329
1250.0,0.3508835434913635,0.8450520634651184,0.3125,7.803700923919678,1.107375144958496,0.004542488604784012,0.1549479216337204,8.0,0.3022848963737488,0.4281989336013794,0.024843215942382812,0.32837512344121933,0.856472447514534,0.3310546875,7.7931177616119385,1.1195458844304085,0.002012579614529386,0.14352756179869175,8.0,0.3003376666456461,0.4029630031436682,0.026246033783536404
1500.0,0.3334254026412964,0.8532986044883728,0.36328125,7.7878594398498535,1.3374701738357544,0.0021284741815179586,0.1467013955116272,8.0,0.31448793411254883,0.4131699502468109,0.026875419542193413,0.3281162865459919,0.8553331308066845,0.3349609375,7.844827860593796,1.3635943830013275,0.0014148136251606047,0.14466688502579927,8.0,0.30199884809553623,0.40454730205237865,0.01960972067900002
1750.0,0.34300369024276733,0.8541666865348816,0.33984375,7.775047302246094,1.2435874938964844,0.0010326788760721684,0.1458333283662796,8.0,0.2955198585987091,0.4170023202896118,0.02852189540863037,0.3299078941345215,0.8548990935087204,0.334228515625,7.791305750608444,1.261277712881565,0.00046718363591935486,0.14510091301053762,8.0,0.30007830634713173,0.404330849647522,0.026546694396529347
2000.0,0.34132492542266846,0.854600727558136,0.328125,7.794950008392334,1.2448457479476929,0.0007375527638942003,0.1453993022441864,8.0,0.29890644550323486,0.4155904948711395,0.025965610519051552,0.3232237808406353,0.8594292663037777,0.3349609375,7.752137064933777,1.24885743111372,0.00043732684571295977,0.14057074952870607,8.0,0.300008125603199,0.39772840216755867,0.03154203237500042
2250.0,0.3576797544956207,0.8463541865348816,0.30078125,7.903578281402588,1.1842143535614014,0.0007841314654797316,0.1536458283662796,8.0,0.3048554062843323,0.43188339471817017,0.012125879526138306,0.33359631337225437,0.8526204489171505,0.32080078125,7.824044972658157,1.1670726910233498,0.0004940816725138575,0.1473795585334301,8.0,0.2986496426165104,0.40660420805215836,0.022263152291998267
